#{"t_start": 1782230560.1994348, "env_id": "BipedalWalker-v3"}
r,l,t
-107.910295,43,295.948226
-106.516492,41,296.026735
-134.474465,453,296.812991
-110.69646,65,296.929527
-105.989822,36,296.999413
-109.532474,60,297.108984
-105.421509,134,297.350798
-108.518511,1600,300.475573
-104.50491,51,300.571929
-107.083634,52,300.722361
-114.054882,108,300.936959
-104.098484,50,301.03196
-113.713015,93,301.206016
-127.770524,519,302.09269
-120.079669,108,302.293639
-105.240484,49,302.387369
-134.431924,784,303.731881
-101.328676,76,303.872899
-109.466428,49,303.967902
-99.002886,68,304.089429
-98.15673,90,304.251938
-110.82431,86,304.403955
-109.583652,377,305.068066
-108.761863,36,305.139571
-139.701268,754,306.451197
-106.680938,45,306.539707
-105.984246,40,306.619215
-102.883166,77,306.757729
-127.609035,876,308.276103
-101.670531,62,308.393613
-105.955579,57,308.499122
-77.365855,1025,310.284568
-103.818506,52,310.384692
-102.595655,45,310.469331
-104.220173,126,310.692429
-106.756993,62,310.804324
-102.519051,68,310.934747
-94.949722,247,311.357026
-95.745291,85,311.514054
-101.240104,75,311.649338
-87.484673,212,312.029312
-107.365547,51,312.125304
-100.98755,62,312.238467
-101.738394,54,312.340451
-106.22508,55,312.443229
-105.667743,50,312.537282
-99.842691,390,313.224164
-108.98108,58,313.331156
-108.289201,53,313.426302
-109.990028,56,313.534107
-92.915522,369,314.167717
-103.47324,1600,316.901564
-103.612531,252,317.343469
-105.869754,77,317.480042
-102.978847,73,317.614009
-96.902483,232,319.342442
-109.465973,129,319.57233
-121.375401,1600,322.315184
-95.273551,1600,325.078788
-104.821593,49,325.173525
-103.833427,125,325.39829
-109.407902,42,325.477484
-102.241152,56,325.58032
-89.235146,1600,328.328429
-102.51715,1600,331.104417
-67.811228,1600,333.872063
-102.895374,53,333.972832
-44.669557,1600,337.049068
-104.379482,42,337.131799
-100.788316,1600,339.898554
-99.986432,73,340.03111
-105.49036,49,340.124561
-105.764629,40,340.203719
-108.670796,47,340.296043
