#{"t_start": 1782230560.1994348, "env_id": "BipedalWalker-v3"}
r,l,t
-87.163468,1600,4744.416344
-90.938289,1600,4762.754619
-96.033003,1600,4781.08009
-88.242513,1600,4807.149968
-102.756303,1600,4825.794285
-85.064417,1600,4845.40959
-83.689271,1600,4865.506727
-83.177195,1600,4884.781971
-111.146291,1600,4903.074903
-65.479013,1600,4921.852121
-59.960845,1600,4947.392959
-177.322381,1600,4965.857701
-164.268393,1600,4984.422785
-174.062943,1600,5003.45451
-166.517403,1600,5023.126137
-127.509864,1600,5042.036362
-111.633026,1600,5067.590382
-79.617019,1600,5085.800941
-167.594566,1183,5099.982494
-83.609818,1600,5118.948976
-92.701712,1600,5138.231021
-83.194216,1600,5156.749276
-80.223285,1600,5182.333007
-77.02265,1600,5200.632442
-66.237719,1600,5219.30253
-61.106005,1600,5237.945556
-83.19219,1600,5256.96167
-89.303538,1600,5275.461735
-88.945115,1600,5294.435164
-81.307872,1600,5320.546194
-49.193678,1600,5339.104941
-83.143068,1600,5358.782024
-71.609889,1600,5377.691686
-98.616909,1600,5396.619993
-62.998594,1600,5415.607059
-71.477018,1600,5441.015433
-85.262457,1600,5460.00175
-69.012158,1600,5478.957616
-93.184762,1600,5497.780916
-85.480938,1600,5516.554881
-76.799694,1600,5535.387804
-148.82683,1114,5554.935272
-57.001612,1600,5573.333532
-115.38564,675,5581.439968
-106.215072,43,5582.011195
-108.020059,57,5582.731535
-105.372134,36,5583.179434
-118.412987,84,5584.226255
-106.915554,46,5584.837016
-106.306552,52,5585.443233
-120.660393,71,5586.373122
-105.364342,45,5586.963242
-106.059214,43,5587.495749
-68.476172,1600,5606.548089
-71.683309,1600,5625.863625
-109.114028,48,5626.394961
-98.924449,1600,5645.525502
-115.573002,1600,5664.619531
-64.202163,1600,5690.056879
-78.753292,1600,5709.260659
-135.741018,1600,5728.581358
-90.511082,1600,5747.586491
-100.748604,1600,5767.057788
-91.395123,1600,5786.349071
-94.554539,1600,5811.860272
-90.412874,1600,5830.893028
-86.930523,1600,5850.390232
-106.827253,1600,5869.225838
-93.602638,1600,5888.456196
-81.47568,1600,5907.5243
-86.747802,1600,5932.566147
-79.109049,1600,5951.84089
-85.323499,1600,5970.856271
-75.796225,1600,5990.100398
-66.201628,1600,6009.748727
-68.350747,1600,6029.353029
-46.453732,1600,6048.535431
-84.298186,1600,6074.993325
-66.713318,1600,6094.373265
-26.648126,1600,6114.036894
-20.337866,1600,6132.82034
-98.161818,1600,6152.029309
-83.662724,1600,6171.386623
-67.673071,1600,6197.492284
-86.005801,1600,6216.760381
-88.470307,1600,6236.071876
-87.850083,1600,6255.246909
-80.335607,1600,6274.554531
-26.226596,1600,6293.384604
-85.609957,1600,6319.562638
-58.544447,1600,6338.467591
-92.511208,1600,6357.831061
-105.635494,1600,6376.971814
-111.56368,1600,6396.052231
-102.880133,1600,6415.722978
-48.891063,1600,6442.239299
-51.575372,1600,6461.153207
-47.010626,1600,6479.965316
-31.101105,1600,6499.452637
-33.641414,1600,6518.802427
-66.137732,1600,6537.700239
-41.119611,1600,6556.765187
-47.095499,1600,6582.309063
-37.954487,1600,6601.397827
-19.374531,1600,6620.988054
-41.352347,1600,6639.620779
-24.451789,1600,6658.093041
-21.211889,1600,6677.56254
-43.935906,1600,6703.973179
-43.563776,1600,6722.865488
-38.312247,1600,6741.74878
-40.656399,1600,6760.61666
-52.153798,1600,6780.282951
-54.716139,1600,6799.329572
-43.995751,1600,6825.162447
-52.87475,1600,6844.199358
-58.088054,1600,6863.3684
-52.464696,1600,6882.579504
-70.180124,1600,6902.013154
-45.880824,1600,6920.585881
-47.161535,1600,6946.56938
-45.91093,1600,6965.839327
-58.322851,1600,6985.548514
-55.036553,1600,7004.877865
-46.865388,1600,7023.709193
-54.966127,1600,7043.76216
-69.307107,1600,7062.801763
-54.041987,1600,7088.960411
-50.614604,1600,7108.062449
-45.794838,1600,7127.194064
-42.926467,1600,7146.693504
-125.656304,576,7153.653902
-43.217528,1600,7173.120268
-59.68227,1600,7192.303072
-30.669182,1600,7218.75224
-59.142995,1600,7237.973132
-54.674719,1600,7257.333642
-175.035706,998,7269.526974
-53.133587,1600,7289.008582
-148.822063,1162,7303.033919
-26.383641,1600,7330.041251
-55.729825,1600,7349.108293
-42.263006,1600,7367.645321
-44.669661,1600,7387.265857
-56.513411,1600,7406.69995
-46.970764,1600,7425.556161
-67.879802,1600,7444.801786
-67.524296,1600,7470.611171
-44.422588,1600,7490.089334
-63.118705,1600,7509.471665
-60.113672,1600,7529.003676
-55.333743,1600,7548.557726
-38.644478,1600,7568.402894
-40.434455,1600,7592.247939
-46.054266,1600,7611.740746
-33.593745,1600,7631.275463
-109.61935,95,7632.359686
-124.330882,138,7633.95612
-122.317133,74,7634.879003
-64.70767,1600,7653.864566
-53.399597,1600,7672.787691
-30.361446,1600,7692.25796
-74.796632,1600,7718.590225
-82.706842,1600,7738.122703
-35.052454,1600,7757.171254
-34.330474,1600,7776.521786
-28.366954,1600,7796.641915
-65.55921,1600,7816.003154
-56.941212,1600,7842.507893
-62.047469,1600,7862.073698
-59.652558,1600,7881.788828
-65.554016,1600,7901.00536
-77.241327,1600,7920.39378
-51.888709,1600,7939.844976
-82.400274,1600,7965.976679
-92.822476,1600,7984.739795
-92.396349,1600,8004.288594
-70.934767,1600,8023.721346
-50.442546,1600,8043.60327
-76.094486,1600,8062.969778
-70.437178,1600,8081.897048
-66.674671,1600,8107.894935
-56.220956,1600,8126.893231
-51.308165,1600,8146.574128
-52.128283,1600,8166.307106
-95.821097,1600,8186.08788
-68.808224,1600,8205.555003
-54.280842,1600,8232.476421
-81.216804,1600,8252.028926
-77.048814,1600,8271.558678
-81.99606,1600,8290.974245
-12.930483,1600,8310.521161
-80.780223,1600,8329.938912
-26.80531,1600,8355.642019
-77.490631,1600,8374.774007
-46.270566,1600,8394.456563
-43.774367,1600,8414.566451
-56.745016,1600,8434.121138
-55.338925,1600,8453.554302
-56.792909,1600,8479.955936
-52.247311,1600,8499.499386
-49.976419,1600,8518.923305
-68.585146,1600,8538.356743
-54.911252,1600,8557.755747
-50.931789,1600,8577.788654
-71.990423,1600,8597.762156
-64.991202,1600,8624.309824
-67.690701,1600,8643.785488
-108.723802,1600,8663.944866
-71.743369,1600,8683.091052
-76.694771,1600,8702.039454
-52.931927,1600,8721.137335
-54.247961,1600,8747.93006
-55.226873,1600,8767.371097
-38.546676,1600,8787.200967
-45.100525,1600,8806.022468
-69.473228,1600,8825.516958
-82.686414,1600,8845.170975
-62.99683,1600,8871.845683
-55.150871,1600,8891.575053
-52.698681,1600,8911.128601
-55.014496,1600,8931.087643
-48.078153,1600,8950.96887
-40.99122,1600,8970.641093
-41.233146,1600,8996.944093
-38.642747,1600,9016.879831
-44.663797,1600,9036.860305
-57.228893,1600,9056.325929
-77.639433,1600,9076.122405
-49.915837,1600,9095.92635
-65.102976,1600,9116.707179
-59.000711,1600,9143.463851
-45.730344,1600,9162.962877
-44.976203,1600,9182.21581
-64.673642,1600,9201.760267
-52.181793,1600,9221.078019
-42.740496,1600,9240.42623
-46.278151,1600,9266.94962
-57.262309,1600,9286.963466
-64.159592,1600,9306.775248
-65.960786,1600,9326.442542
-56.153794,1600,9345.729295
-51.399827,1600,9365.136382
-54.741028,1600,9391.481227
-107.044429,202,9394.01707
-55.961561,1600,9413.234216
-54.262045,1600,9432.815839
-35.73775,1600,9452.248265
-36.856056,1600,9471.881253
-27.820659,1600,9491.585387
-43.817368,1600,9517.964098
-33.717143,1600,9537.555484
-44.593014,1600,9557.340312
-59.146178,1600,9577.055525
-36.246131,1600,9596.354376
-56.378028,1600,9616.198954
-39.435791,1600,9635.30265
-48.067078,1600,9661.101644
-46.119089,1600,9680.937128
-38.924274,1600,9700.225026
-36.230339,1600,9720.123507
-28.819665,1600,9739.421364
-36.251112,1600,9758.464608
-37.238497,1600,9784.852097
-58.751839,1600,9804.74105
-60.181555,1600,9824.686658
-32.899435,1600,9844.486339
-35.656841,1600,9864.616208
-34.400459,1600,9883.866085
-78.66884,1600,9910.309589
-41.235266,1600,9929.974418
-48.058302,1600,9949.802204
-44.650583,1600,9969.272615
-45.11984,1600,9988.833076
-46.755569,1600,10008.550089
-59.888052,1600,10035.313153
-139.770634,1145,10049.189284
-34.770565,1600,10069.094032
-42.029738,1600,10089.18452
-52.77423,1600,10109.003441
-46.742172,1600,10128.373933
-33.918673,1600,10147.673616
-36.660648,1600,10174.026826
-32.630625,1600,10193.85962
-43.285501,1600,10213.167563
-39.53304,1600,10232.852767
-41.7532,1600,10252.815053
-32.907219,1600,10273.084585
-40.349363,1600,10299.275114
-42.318656,1600,10319.131975
-51.636481,1600,10338.885914
-48.687146,1600,10358.487517
-48.152283,1600,10379.026092
-50.091569,1600,10398.486246
-47.952055,1600,10425.359892
-48.085095,1600,10444.809695
-49.383579,1600,10464.125865
-49.349554,1600,10483.520667
-44.591821,1600,10503.114649
-63.686755,1600,10522.904493
-47.474408,1600,10542.504636
-52.969122,1600,10569.023425
-141.065409,765,10578.765704
-31.154374,1600,10597.987641
-54.731158,1600,10617.811582
-46.403517,1600,10637.347668
-50.448763,1600,10657.061173
-65.853371,1600,10683.08576
-45.911513,1600,10702.929658
-32.43965,1600,10722.463266
-35.811324,1600,10742.185067
-61.38763,1600,10762.228863
-53.686531,1600,10781.628883
-46.223666,1600,10801.987007
-36.750097,1600,10827.982682
-40.598927,1600,10847.482248
-140.421937,1497,10865.880278
-34.742701,1600,10885.883162
-58.878996,1600,10905.723627
-49.015675,1600,10925.595865
-45.771753,1600,10951.927601
-37.489146,1600,10971.751564
-34.096713,1600,10991.754925
-47.661782,1600,11011.904052
-35.41356,1600,11031.247392
-30.606572,1600,11050.484221
-45.821797,1600,11076.884393
-39.502881,1600,11096.850025
-57.276249,1600,11116.60894
-50.369497,1600,11135.765437
-140.667144,958,11147.584031
-49.230116,1600,11167.123217
-36.368834,1600,11187.077734
-36.477534,1600,11213.183267
-37.574084,1600,11232.719387
-28.089503,1600,11252.590217
-44.438209,1600,11272.566707
-38.687912,1600,11292.82256
-29.061171,1600,11312.626233
-24.688095,1600,11339.031601
-37.566739,1600,11358.883248
-37.776593,1600,11378.46291
-26.302613,1600,11398.035975
-27.112083,1600,11417.839235
-32.247496,1600,11437.750039
-29.830532,1600,11464.619579
-47.088457,1600,11484.204186
-34.281904,1600,11504.419064
-38.999983,1600,11524.098924
-34.831491,1600,11543.468739
-36.732515,1600,11563.634179
-35.822698,1600,11583.680197
-38.20108,1600,11610.531242
-60.939729,1600,11630.05097
-31.816004,1600,11650.052217
-62.961322,1600,11669.896046
-78.509897,1600,11689.499919
-59.708763,1600,11709.027653
-23.564601,1600,11735.472321
-54.729648,1600,11755.523177
-35.338036,1600,11775.315028
-32.304791,1600,11795.318861
-42.18591,1600,11815.468425
-36.41068,1600,11835.154672
-46.006561,1600,11861.872751
-37.723152,1600,11882.0274
-29.606606,1600,11901.848641
-38.711538,1600,11921.742226
-51.930948,1600,11941.192351
-47.793927,1600,11961.168914
-36.567941,1600,11988.087326
-33.290399,1600,12007.97126
-37.323117,1600,12027.957335
-35.466243,1600,12047.556371
-31.441608,1600,12067.897829
-31.090269,1600,12087.046389
-26.722866,1600,12106.803508
-58.908014,1600,12132.958974
-29.89706,1600,12152.8751
-73.688605,1600,12172.916209
-28.350327,1600,12192.178657
-32.849776,1600,12212.390254
-29.562452,1600,12232.405552
-31.876003,1600,12258.677617
-25.087628,1600,12278.109727
-37.166957,1600,12298.513189
-72.293892,1600,12318.359195
-31.626387,1600,12337.544473
-25.716569,1600,12357.191274
-42.296058,1600,12383.855454
-51.842426,1600,12403.726166
-25.084007,1600,12423.432223
-22.264642,1600,12443.535889
-34.476091,1600,12463.478491
-29.679813,1600,12483.711175
-32.194542,1600,12509.834924
-32.267624,1600,12529.064814
-24.55668,1600,12549.485251
-35.033336,1600,12569.668811
-37.886819,1600,12589.479861
-32.06639,1600,12609.615073
-28.519457,1600,12629.546368
-29.016341,1600,12656.296101
-29.280362,1600,12677.034779
-28.250419,1600,12697.289465
-39.290467,1600,12717.38712
-32.278597,1600,12737.133679
-32.365747,1600,12756.46787
-35.750676,1600,12782.799778
-32.12222,1600,12802.961098
-28.837933,1600,12822.602403
-23.142807,1600,12842.615076
-32.55632,1600,12862.451456
-35.599515,1600,12882.417856
-21.513429,1600,12908.675795
-29.902488,1600,12929.022582
-26.592517,1600,12949.173146
-20.620296,1600,12969.097245
-30.683863,1600,12989.17145
-31.314756,1600,13008.95413
-37.383579,1600,13035.480605
-78.52601,1600,13055.675031
-45.270535,1600,13075.208261
-59.055199,1600,13094.891369
-116.363684,49,13095.545524
